"playerID","yearID","G","G_batting","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","G_old"
"rogerja03",2023,107,107,331,47,73,11,0,21,49,1,1,28,118,0,3,1,2,6,NA
"rojasjo01",2023,105,105,314,47,77,17,0,4,40,12,0,27,81,0,1,2,4,3,NA
"rojasjo03",2023,59,59,149,24,45,9,2,2,23,14,1,5,42,0,4,6,0,1,NA
"rojasmi02",2023,125,124,385,49,91,16,1,5,31,8,3,26,48,0,5,2,5,12,NA
"rookebr01",2023,137,137,463,61,114,20,1,30,69,4,0,49,172,1,10,0,4,11,NA
"rortvbe01",2023,32,32,68,6,8,1,0,2,4,0,0,11,19,0,0,0,0,1,NA
"rosaram01",2023,142,142,510,70,134,25,8,6,58,15,2,29,99,0,3,0,3,15,NA
"rosared01",2023,142,142,478,64,122,24,3,21,74,3,4,34,122,1,1,1,2,13,NA
"rosareg01",2023,11,11,36,6,9,1,1,2,6,0,0,1,12,0,0,0,0,1,NA
"rufda01",2023,20,20,49,3,11,3,0,0,3,0,0,8,16,0,0,0,0,0,NA
"ruizes01",2023,132,132,449,47,114,24,1,5,47,67,13,20,99,1,16,4,1,7,NA
"ruizke01",2023,136,136,523,55,136,24,0,18,67,1,1,31,58,1,6,0,2,13,NA
"ruthebl01",2023,16,16,35,4,6,0,0,0,2,0,0,1,10,0,0,0,0,1,NA
"rutscad01",2023,154,154,588,84,163,31,1,20,80,1,2,92,101,6,2,0,5,14,NA
"sabolbl01",2023,110,110,310,36,73,10,0,13,44,4,2,24,117,0,6,2,2,4,NA
"salazce01",2023,13,13,18,1,2,0,0,0,0,0,0,1,6,0,0,0,0,1,NA
"sanchga02",2023,75,75,240,33,52,9,0,19,47,0,0,21,67,0,4,0,2,3,NA
"sanchje02",2023,125,125,360,43,91,23,3,14,52,3,1,38,107,1,2,1,1,12,NA
"santaan02",2023,153,153,591,81,152,41,1,28,95,5,1,55,152,1,6,0,4,11,NA
"santaca01",2023,146,146,550,78,132,33,1,23,86,6,0,65,104,0,0,0,4,11,NA
"sborzjo01",2023,44,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"schanno01",2023,29,29,109,19,30,3,0,1,6,0,0,20,19,1,3,0,0,1,NA
"schmica01",2023,90,90,253,28,52,15,0,5,30,2,1,13,65,0,5,3,3,7,NA
"schneda03",2023,35,35,116,23,32,12,1,8,20,1,0,21,43,0,4,0,0,2,NA
"schoojo01",2023,55,55,136,15,29,8,0,0,7,0,0,13,37,0,0,0,2,6,NA
