pitch_type,pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
FS,66,663728,"Raleigh, Cal",751,8.8,0.25,0,0.429,0.25,0.338,0.394,0.275,3,12,91.6,3,1378,87.2,87.78,12,28,38,0.6,6.57,114,142,124,149,295,321,293,-2.8,2.8,73.16527,8.231516957
SL,74,663728,"Raleigh, Cal",751,9.9,0.4,0.2,0.667,0.6,0.451,0.375,0.363,4,10,97.6,11.3,2423,85.2,85.6,13,38,36,0.4,6.44,116,145,130,152,295,324,294,-1,1,74.50028871,8.196368387
KC,13,663728,"Raleigh, Cal",751,1.7,,,,,0.721,0.721,,0,0,,,2410,84,84.44,0,2,11,0.4,6.56,111,144,127,152,297,323,295,-0.7,0.7,71.88781,8.1504
SI,37,663728,"Raleigh, Cal",751,4.9,0.444,0,0.5,0.444,0.384,0.391,0.235,4,9,96.8,28.3,2015,94,94.48,1,20,17,0.5,6.57,115,145,126,151,294,325,297,-0.2,0.2,75.44648579,7.583876842
ST,37,663728,"Raleigh, Cal",751,4.9,0,0,,0,0.173,0.173,,0,3,,,2557,81.8,81.8,6,14,23,0,6.43,115,142,119,149,294,319,295,1.1,-1.1,76.71132714,8.47859
FC,61,663728,"Raleigh, Cal",751,8.1,0.2,0.2,0.25,0.4,0.281,0.271,0.222,3,15,85.3,25.7,2322,89.3,90,11,30,31,0.7,6.54,114,146,127,152,294,324,293,1.1,-1.1,75.17088091,7.378094091
CU,49,663728,"Raleigh, Cal",751,6.5,0,0,0,0,0.09,0.132,0.039,0,7,85,16,2662,82,82.01,6,21,28,0,6.34,116,146,130,152,292,321,292,1.4,-1.4,72.83740947,8.322879474
FF,227,663728,"Raleigh, Cal",751,30.2,0.17,0.085,0.304,0.255,0.24,0.273,0.181,8,47,94.5,24.4,2276,94.7,95.13,28,103,124,0.4,6.55,112,144,125,151,295,324,295,1.6,-1.6,71.97019087,7.011106304
CH,123,663728,"Raleigh, Cal",751,16.4,0.147,0.029,0.179,0.176,0.171,0.234,0.2,5,34,82.9,7.7,1761,85.9,86.27,17,70,53,0.4,6.43,112,144,126,151,294,323,293,4.5,-4.5,71.92293597,8.219950597
ST,18,670042,"Raley, Luke",512,3.5,0.4,0.6,0.5,1,0.608,0.215,0.095,2,5,97.8,25.3,2480,82.6,82.87,4,13,5,0.3,6.55,116,142,106,151,294,319,294,-3.3,3.3,72.67312,7.351742222
FF,137,670042,"Raley, Luke",512,26.8,0.4,0.233,0.524,0.633,0.465,0.469,0.373,12,30,82.1,18.8,2266,94.9,95.29,22,76,61,0.4,6.47,113,143,113,150,292,324,296,-2.8,2.8,71.4124829,6.35909971
SI,39,670042,"Raley, Luke",512,7.6,0.25,0.5,0.111,0.75,0.456,0.499,0.297,3,12,95,9.2,2063,94.5,94.85,3,18,21,0.3,6.45,112,144,107,150,296,323,296,-2.6,2.6,75.30768063,6.77313375
CU,37,670042,"Raley, Luke",512,7.2,0.222,0.333,0.25,0.556,0.325,0.249,0.229,2,9,96.4,6.4,2665,80.2,80.02,6,16,21,-0.2,6.26,120,147,112,153,293,322,295,-0.4,0.4,70.32438923,7.651089231
SL,88,670042,"Raley, Luke",512,17.2,0.238,0.286,0.4,0.524,0.334,0.27,0.194,5,21,97.3,8.9,2449,85.9,86.28,20,49,39,0.5,6.46,118,145,112,151,293,324,296,-0.1,0.1,72.85638956,7.402949333
KC,10,670042,"Raley, Luke",512,2,0,0,0,0,0,0.026,0.027,0,2,85,29,2385,83.7,83.94,2,3,7,0.2,6.48,114,144,97,148,300,323,298,0.2,-0.2,72.88155,7.708063333
FS,29,670042,"Raley, Luke",512,5.7,0.143,0.143,0.167,0.286,0.179,0.533,0.398,1,7,101.6,-5.3,1494,88.4,89.09,3,16,13,0.7,6.58,117,144,112,152,293,324,298,0.6,-0.6,73.69916188,7.2862725
FC,38,670042,"Raley, Luke",512,7.4,0.2,0.1,0.25,0.3,0.26,0.272,0.22,2,10,90.5,27.5,2303,89.8,90.36,5,22,16,0.6,6.48,114,144,107,150,294,324,293,0.8,-0.8,74.60654333,7.288175333
CH,86,670042,"Raley, Luke",512,16.8,0.167,0.125,0.214,0.292,0.217,0.212,0.176,4,24,86.9,10.6,1756,86.5,86.76,25,53,33,0.3,6.38,119,146,112,153,295,324,296,1.4,-1.4,72.151369,7.6624366
FC,44,677594,"Rodríguez, Julio",611,7.2,0.556,0.667,0.6,1.222,0.738,0.694,0.499,5,9,91.5,11.4,2373,89.6,90.21,10,23,21,0.6,6.52,106,149,118,145,301,322,288,-2.9,2.9,73.22621,7.780327368
SI,122,677594,"Rodríguez, Julio",611,20,0.194,0,0.214,0.194,0.231,0.364,0.323,6,31,87.9,0.5,2092,94.1,94.47,10,66,56,0.4,6.5,106,151,120,146,302,322,290,-0.3,0.3,74.56543278,7.355924444
FF,157,677594,"Rodríguez, Julio",611,25.7,0.278,0.139,0.409,0.417,0.328,0.381,0.305,10,36,94.7,7.6,2279,94.6,95.08,24,89,68,0.5,6.55,106,151,120,147,302,323,291,0.7,-0.7,71.18691429,7.161261429
FS,15,677594,"Rodríguez, Julio",611,2.5,0,0,,0,0,0,,0,3,,,1316,86.2,86.78,5,8,7,0.6,6.67,102,150,120,143,305,324,288,0.8,-0.8,67.29167,8.124415
SL,63,677594,"Rodríguez, Julio",611,10.3,0.083,0,0.1,0.083,0.074,0.216,0.218,1,12,85.4,21.2,2541,83.3,83.44,12,33,30,0.1,6.41,108,150,119,145,299,321,289,0.9,-0.9,74.15707042,8.267727917
ST,21,677594,"Rodríguez, Julio",611,3.4,0,0,0,0,0,0.04,0.04,0,4,81.5,31.3,2583,79.9,79.78,6,11,10,-0.1,6.36,104,147,120,145,300,321,292,0.9,-0.9,74.91411556,8.495891111
CH,135,677594,"Rodríguez, Julio",611,22.1,0.278,0.028,0.357,0.306,0.267,0.316,0.287,10,36,86.9,14.6,2363,85.4,85.82,25,68,67,0.4,6.52,105,150,120,146,303,323,290,0.9,-0.9,72.03024153,8.129578983
CU,45,677594,"Rodríguez, Julio",611,7.4,0.2,0,0.667,0.2,0.176,0.146,0.154,2,10,70.5,-10.3,1813,85.9,86.56,15,32,13,0.7,6.65,106,151,121,147,302,324,291,0.9,-0.9,74.07960593,8.594691852
FF,209,668942,"Rojas, Josh",611,34.2,0.283,0.283,0.313,0.565,0.412,0.353,0.219,13,46,90.5,22.1,2256,94.4,94.8,20,97,112,0.4,6.5,115,146,104,151,286,318,295,-3,3,64.37233242,6.780076923
SL,65,668942,"Rojas, Josh",611,10.6,0.267,0.067,0.308,0.333,0.311,0.315,0.226,4,15,88,16.8,2361,85.6,85.98,7,33,32,0.4,6.41,119,148,114,152,285,318,292,-1.7,1.7,62.85621724,7.375138621
SI,61,668942,"Rojas, Josh",611,10,0.333,0.278,0.357,0.611,0.454,0.48,0.359,6,18,89,8.1,2061,93.9,94.31,2,28,33,0.4,6.51,115,147,104,152,289,322,295,-0.7,0.7,66.64940875,7.381375
FS,16,668942,"Rojas, Josh",611,2.6,0.5,0.25,0.667,0.75,0.534,0.396,0.411,2,4,87.6,8.3,1514,87,87.56,1,7,9,0.6,6.54,116,148,113,152,287,317,297,-0.1,0.1,65.09543833,7.71062
ST,15,668942,"Rojas, Josh",611,2.5,0,0,0,0,0,0.396,0.217,0,2,94.5,32,2621,82.7,82.59,1,5,10,-0.1,6.17,118,144,106,149,287,316,294,0.4,-0.4,66.654164,7.817268
FC,66,668942,"Rojas, Josh",611,10.8,0.2,0,0.2,0.2,0.295,0.279,0.157,2,10,89.2,24.5,2311,89.8,90.41,3,30,36,0.6,6.47,117,147,107,152,286,318,293,0.5,-0.5,67.77015185,7.04675037
CH,15,668942,"Rojas, Josh",611,2.5,0,0,0,0,0,0.191,0.173,0,2,97.2,19,2369,80.6,80.78,0,2,13,0.2,6.47,120,148,107,152,288,317,294,0.6,-0.6,58.72541,6.03316
KC,92,668942,"Rojas, Josh",611,15.1,0.2,0,0.211,0.2,0.176,0.225,0.228,4,20,87.9,9.1,1778,86,86.27,9,38,54,0.3,6.37,116,146,104,152,287,321,294,0.6,-0.6,63.77609378,7.798507568
CU,29,668942,"Rojas, Josh",611,4.7,0,0,0,0,0,0.086,0.096,0,5,90,18,2611,79.8,79.8,3,7,22,0,6.36,120,147,107,152,284,318,293,0.7,-0.7,61.31645,7.364352
