pitch_type,pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
SL,17,689172,"Wisely, Brett",277,6.1,0.5,0,0.5,0.5,0.491,0.514,0.517,2,4,73.1,33.3,2527,85.3,85.69,2,8,9,0.4,6.42,122,146,105,151,293,319,305,-0.5,0.5,69.25376286,7.193477143
SI,33,689172,"Wisely, Brett",277,11.9,0.3,0,0.333,0.3,0.265,0.303,0.3,3,10,91.4,9.9,2059,93.1,93.33,1,14,19,0.2,6.35,116,147,100,152,293,324,302,0.4,-0.4,64.77583231,6.18146
FC,23,689172,"Wisely, Brett",277,8.3,0.4,0.2,0.4,0.6,0.427,0.454,0.399,2,5,88.4,10.4,2391,91.7,92.33,4,17,6,0.6,6.46,113,148,107,152,293,319,303,0.5,-0.5,63.69952625,6.066689375
FF,98,689172,"Wisely, Brett",277,35.4,0.25,0.042,0.3,0.292,0.291,0.272,0.215,6,24,86.4,23.5,2275,94,94.52,5,45,53,0.5,6.48,117,147,107,151,293,321,302,0.5,-0.5,63.80819814,5.988905116
CH,39,689172,"Wisely, Brett",277,14.1,0.2,0.1,0.4,0.3,0.214,0.091,0.097,2,10,73.9,7.6,1857,85.7,85.74,8,17,22,0,6.27,116,148,113,152,294,322,303,0.9,-0.9,63.11229118,6.948170588
CU,34,689172,"Wisely, Brett",277,12.3,0,0,0,0,0,0.289,0.23,0,6,87.5,25.8,2608,79.7,79.96,2,18,16,0.3,6.45,117,147,109,151,291,323,303,1.5,-1.5,68.272425,7.082845556
CH,49,573262,"Yastrzemski, Mike",549,8.9,0.364,0.273,0.429,0.636,0.449,0.252,0.198,4,11,83.5,10.6,1819,86,86.21,3,21,28,0.2,6.44,114,145,116,151,293,322,302,-4.2,4.2,68.00934952,7.856104762
CU,38,573262,"Yastrzemski, Mike",549,6.9,0.143,0.286,0.2,0.429,0.227,0.111,0.099,1,7,92.7,37.4,2603,79.5,79.74,3,15,23,0.2,6.51,118,146,116,151,296,324,300,-0.2,0.2,71.11693769,8.346140769
SL,47,573262,"Yastrzemski, Mike",549,8.6,0.333,0.111,0.5,0.444,0.335,0.221,0.23,3,9,87.8,36.2,2581,86.9,87.61,6,17,30,0.7,6.56,118,146,113,150,295,321,303,0.1,-0.1,70.27361294,8.154337647
FS,27,573262,"Yastrzemski, Mike",549,4.9,0.4,0,0.667,0.4,0.409,0.314,0.238,2,5,77.3,-4,1224,86.5,86.84,3,11,16,0.3,6.47,120,146,112,151,296,327,303,0.7,-0.7,67.521752,7.737958
FC,49,573262,"Yastrzemski, Mike",549,8.9,0.182,0.273,0.125,0.455,0.266,0.24,0.209,2,11,80.8,31.9,2382,90.1,90.68,8,22,27,0.6,6.53,119,145,106,150,287,321,301,1.4,-1.4,69.65753095,7.312877143
SI,68,573262,"Yastrzemski, Mike",549,12.4,0.125,0.125,0.182,0.25,0.154,0.199,0.167,2,16,93.3,29.5,2128,94,94.54,5,32,36,0.5,6.46,118,147,112,152,297,327,302,1.5,-1.5,71.21563807,7.330413871
FF,208,573262,"Yastrzemski, Mike",549,37.9,0.098,0.073,0.136,0.171,0.199,0.209,0.116,4,41,87,26.3,2318,94.9,95.29,28,80,128,0.4,6.57,115,145,113,150,295,322,301,5.8,-5.8,70.45589333,7.253635769
